"","birdID","tot_count","analysed","per_anal"
"1","201301_1",1394,52,3.73027259684362
"2","201302_1",959,27,2.81543274244004
"3","201303_1",1298,50,3.85208012326656
"4","201304_1",757,35,4.62351387054161
"5","201305_1",785,43,5.47770700636943
"6","201306_1",692,13,1.87861271676301
"7","201308_1",1660,46,2.7710843373494
"8","201309_1",894,16,1.78970917225951
"9","201310_1",810,45,5.55555555555556
"10","2013101_1",1251,58,4.63629096722622
"11","2013102_1",422,12,2.8436018957346
"12","2013103_1",351,16,4.55840455840456
"13","2013104_1",317,10,3.15457413249211
"14","2013105_1",748,24,3.20855614973262
"15","2013107_1",742,20,2.69541778975741
"16","2013108_1",1165,52,4.46351931330472
"17","201311_1",1027,45,4.38169425511198
"18","2013110_1",477,16,3.35429769392034
"19","2013112_1",264,10,3.78787878787879
"20","2013114_1",744,14,1.88172043010753
"21","2013116_1",510,19,3.72549019607843
"22","2013118_1",1017,44,4.32645034414946
"23","2013119_1",1468,55,3.74659400544959
"24","201312_1",924,45,4.87012987012987
"25","2013120_1",1327,51,3.84325546345139
"26","201313_3",999,56,5.60560560560561
"27","201314_1",350,18,5.14285714285714
"28","201315_1",852,28,3.28638497652582
"29","201316_1",1242,51,4.10628019323671
"30","201321_1",1341,50,3.72856077554064
"31","201322_1",1049,45,4.28979980934223
"32","201323_1",1106,46,4.15913200723327
"33","201325_1",943,42,4.45387062566278
"34","201328_1",953,26,2.72822665267576
"35","201329_2",620,14,2.25806451612903
"36","201330_1",1873,87,4.64495461825948
"37","201331_1",1159,46,3.96893874029336
"38","201332_1",1043,35,3.35570469798658
"39","201333_1",1200,53,4.41666666666667
"40","201334_1",2650,108,4.07547169811321
"41","201335_1",1833,59,3.21876704855428
"42","201336_1",1309,28,2.13903743315508
"43","201338_1",558,17,3.04659498207885
"44","201339_1",390,7,1.79487179487179
"45","201341_1",1124,44,3.91459074733096
"46","201342_1",1039,29,2.79114533205005
"47","201343_2",1015,26,2.5615763546798
"48","201344_1",756,45,5.95238095238095
"49","201346_1",448,20,4.46428571428571
"50","201348_1",1248,36,2.88461538461538
"51","201349_1",589,21,3.56536502546689
"52","201350_1",575,18,3.1304347826087
"53","201351_1",718,23,3.2033426183844
"54","201352_1",756,24,3.17460317460317
"55","201353_1",930,51,5.48387096774194
"56","201354_1",943,35,3.71155885471898
"57","201355_2",454,19,4.18502202643172
"58","201356_1",363,13,3.58126721763085
"59","201357_1",1250,57,4.56
"60","201358_1",1042,24,2.30326295585413
"61","201360_1",794,38,4.78589420654912
"62","201361_2",751,15,1.99733688415446
"63","201362_1",1002,39,3.89221556886228
"64","201363_1",770,32,4.15584415584416
"65","201364_1",1940,73,3.76288659793814
"66","201365_1",1037,48,4.62873674059788
"67","201366_1",689,31,4.49927431059506
"68","201368_1",927,30,3.23624595469256
"69","201369_1",1195,49,4.10041841004184
"70","201370_1",1048,16,1.52671755725191
"71","201371_1",1182,54,4.56852791878173
"72","201373_1",1108,61,5.50541516245487
"73","201375_1",643,31,4.82115085536547
"74","201376_1",477,19,3.9832285115304
"75","201377_1",-Inf,0,0
"76","201380_1",1417,58,4.09315455187015
"77","201381_2",652,9,1.38036809815951
"78","201383_1",1823,70,3.83982446516731
"79","201384_1",661,19,2.87443267776097
"80","201385_1",1498,67,4.47263017356475
"81","201387_1",470,12,2.5531914893617
"82","201388_1",1389,58,4.17566594672426
"83","201391_1",489,18,3.68098159509202
"84","201392_1",259,11,4.24710424710425
"85","201393_1",936,42,4.48717948717949
"86","201394_2",1198,55,4.59098497495826
"87","201396_1",578,28,4.84429065743945
"88","201397_1",816,32,3.92156862745098
"89","201398_1",944,42,4.44915254237288
